token,rating,standarddeviation,rawrating
mag-abuso,-3.2,0.6,"[-4, -2, -3, -4, -3, -4, -3, -3, -3, -3]"
giabusohan,-2.3,0.64031,"[-2, -2, -3, -2, -2, -4, -2, -2, -2, -2]"
tig-abuso,-2.6,0.4899,"[-3, -2, -3, -3, -2, -3, -2, -2, -3, -3]"
abusado,-2.6,1.0198,"[-2, -3, -3, -3, -3, -2, -3, -4, -3, 0]"
mga pag-abuso,-2.6,0.66332,"[-3, -2, -3, -3, -3, -3, -1, -2, -3, -3]"
abuso,-2,1.41421,"[-1, -2, -2, -4, -4, -2, -3, -1, 1, -2]"
abusado,-3.2,0.74833,"[-4, -3, -3, -4, -4, -3, -4, -2, -3, -2]"
abusado,-2.8,0.6,"[-3, -4, -3, -2, -3, -2, -2, -3, -3, -3]"
abuso,-2.5,0.92195,"[-2, -4, -2, -3, -2, -3, -4, -2, -1, -2]"
abuso,-3,0.63246,"[-3, -3, -4, -3, -4, -2, -2, -3, -3, -3]"
dawaton ang,1.6,0.91652,"[2, 1, 2, 1, 1, 2, 4, 1, 1, 1]"
pagdawat,1.6,0.66332,"[0, 2, 2, 2, 1, 2, 2, 2, 1, 2]"
kaakohan,1.6,0.66332,"[0, 2, 2, 2, 1, 2, 2, 2, 1, 2]"
pagkadawat,1.1,0.53852,"[1, 0, 1, 2, 1, 2, 1, 1, 1, 1]"
madawat,1.3,0.45826,"[1, 2, 1, 1, 1, 2, 1, 1, 2, 1]"
pagkamadawaton,1.3,0.9,"[1, 0, 2, 1, 2, 1, 1, 0, 2, 3]"
madawat,1.5,0.67082,"[3, 2, 1, 1, 1, 2, 1, 1, 2, 1]"
pagdawat,2,0.63246,"[3, 1, 3, 2, 1, 2, 2, 2, 2, 2]"
mga pagdawat,1.7,0.78102,"[3, 1, 1, 1, 2, 2, 1, 2, 3, 1]"
madawat,1.6,0.8,"[0, 1, 2, 2, 2, 1, 2, 1, 3, 2]"
pagdawat,1.3,0.78102,"[0, 1, 2, 1, 1, 1, 1, 3, 2, 1]"
pagdawat,0.9,0.83066,"[1, 2, 0, 2, 0, 1, 0, 2, 1, 0]"
gidawat,1.1,0.3,"[1, 1, 1, 1, 1, 2, 1, 1, 1, 1]"
pagdawat,1.6,0.66332,"[2, 2, 2, 1, 1, 2, 1, 3, 1, 1]"
midawat,1.3,0.45826,"[1, 2, 1, 1, 1, 2, 2, 1, 1, 1]"
aksidente,-2.1,0.83066,"[-2, -2, -1, -3, -4, -2, -2, -1, -2, -2]"
aksidente,-0.3,0.45826,"[-1, -1, 0, 0, 0, 0, 0, 0, -1, 0]"
aksidenteng,-1.4,0.91652,"[-2, 0, -2, 0, -3, -1, -1, -1, -2, -2]"
aksidente,-1.3,0.78102,"[-1, -1, -1, -1, -2, 0, -3, -1, -2, -1]"
matuman ang,1.8,0.6,"[1, 2, 3, 2, 2, 2, 1, 1, 2, 2]"
nahimo,1.9,0.53852,"[2, 2, 2, 1, 2, 2, 3, 1, 2, 2]"
nahuman,1.9,0.53852,"[2, 2, 2, 1, 2, 2, 3, 1, 2, 2]"
nakab-ot ang,1.7,0.9,"[2, 2, 1, 0, 2, 3, 3, 1, 1, 2]"
akusasyon,-1,1.09545,"[-1, -1, -2, -2, -2, -1, -1, -1, 2, -1]"
mga akusasyon,-1.3,1.26886,"[-2, -2, -1, -3, -2, -1, -1, 2, -2, -1]"
akusado,-0.8,1.53623,"[-3, -1, -1, -2, 1, -2, 1, -2, 2, -1]"
akusado,-1.2,1.46969,"[-2, -1, -2, 2, -2, -3, -2, -2, -1, 1]"
akusar,-1.4,1.0198,"[-2, -1, -2, 1, -2, -3, -1, -2, -1, -1]"
akusasyon,-1.4,1.0198,"[-2, -1, -2, 1, -2, -3, -1, -2, -1, -1]"
pag-akusar,-0.7,1.34536,"[-2, -1, -1, 1, -3, -1, -1, 2, -1, 0]"
pagsumbong,-0.7,1.34536,"[-2, -1, -1, 1, -3, -1, -1, 2, -1, 0]"
mopasangil,-0.7,1.34536,"[-2, -1, -1, 1, -3, -1, -1, 2, -1, 0]"
sakit,-1.6,1.2,"[-1, -2, -2, -2, -1, -4, -1, 1, -2, -2]"
kasakit,-1.6,1.2,"[-1, -2, -2, -2, -1, -4, -1, 1, -2, -2]"
nagsakit,-1.6,0.8,"[-2, -2, -1, -2, -1, -2, -3, 0, -1, -2]"
kasakit,-1,0.7746,"[-1, -2, -1, -1, -1, 1, -2, -1, -1, -1]"
makab-ot,1.3,0.45826,"[2, 1, 1, 1, 1, 1, 1, 2, 2, 1]"
sakit,-2.2,0.74833,"[-2, -3, -2, -1, -3, -3, -2, -3, -1, -2]"
abswelto,0.8,1.72047,"[-3, 3, -1, 3, 2, 1, 1, 1, 0, 1]"
absuwelto,0.1,1.37477,"[1, -3, -1, 0, 2, 0, -1, 1, 1, 1]"
giabsuwelto,1,0.89443,"[2, 2, 1, 1, 2, 0, 1, 1, -1, 1]"
absuwelto,1.3,0.78102,"[3, 2, 0, 1, 1, 1, 2, 1, 1, 1]"
acrimonious,-1.7,1.73494,"[-1, -3, -2, -3, 3, -3, -1, -2, -2, -3]"
aktibo,1.7,1.26886,"[1, 2, 1, 1, 1, 4, 2, 4, 0, 1]"
aktibo nga,1.3,0.78102,"[0, 1, 0, 2, 2, 1, 1, 2, 2, 2]"
pagkaaktibo,0.6,0.8,"[0, 2, 0, 0, 1, 0, 1, 0, 2, 0]"
pagkaaktibo,0.8,0.74833,"[2, 0, 1, 0, 0, 0, 1, 2, 1, 1]"
aktibo,1.1,0.7,"[2, 1, 0, 1, 1, 0, 1, 1, 2, 2]"
igo nga,0.9,0.7,"[0, 0, 1, 1, 0, 2, 1, 1, 2, 1]"
pagkamadanihon,2.4,0.4899,"[2, 3, 3, 3, 3, 2, 2, 2, 2, 2]"
dalaygon,2.6,0.66332,"[2, 3, 3, 3, 4, 3, 2, 2, 2, 2]"
dalayegon,2.6,0.66332,"[2, 3, 3, 3, 4, 3, 2, 2, 2, 2]"
pagkamadanihon,2.2,0.87178,"[2, 2, 3, 3, 3, 1, 3, 1, 3, 1]"
dalaygon,2.5,0.67082,"[2, 3, 3, 3, 4, 2, 2, 2, 2, 2]"
admiral,1.3,1.18743,"[0, 0, 1, 3, 3, 2, 2, 0, 2, 0]"
admirals,1.5,0.80623,"[2, 2, 0, 2, 2, 0, 1, 2, 2, 2]"
admiralidad,1.6,0.66332,"[2, 2, 2, 1, 0, 2, 2, 2, 1, 2]"
admiralty,1.2,1.53623,"[0, 4, 0, 0, 0, 2, 2, 3, 2, -1]"
pagdayeg,2.5,0.80623,"[3, 1, 1, 3, 3, 2, 3, 3, 3, 3]"
pagdayeg,1.6,0.66332,"[2, 2, 1, 1, 2, 2, 2, 2, 2, 0]"
pagdayeg,2.1,0.83066,"[3, 3, 1, 3, 3, 2, 1, 2, 1, 2]"
gidayeg,2.3,0.78102,"[4, 2, 2, 2, 2, 2, 3, 3, 1, 2]"
nakadeyeg,2.3,0.78102,"[4, 2, 2, 2, 2, 2, 3, 3, 1, 2]"
admirer,1.8,0.74833,"[2, 1, 1, 2, 3, 2, 3, 1, 1, 2]"
admirer,1.7,1.00499,"[2, 3, 2, 2, 2, 1, -1, 2, 2, 2]"
nakadayeg,1.5,0.67082,"[3, 1, 1, 2, 1, 2, 2, 1, 1, 1]"
pagdayeg,1.6,0.8,"[1, 2, 1, 1, 3, 3, 2, 1, 1, 1]"
makadayeg,2.3,0.64031,"[1, 3, 3, 2, 2, 2, 2, 3, 3, 2]"
moangkon,0.8,1.07703,"[0, 0, 0, 0, 0, 1, 3, 2, 2, 0]"
modawat,0.8,1.07703,"[0, 0, 0, 0, 0, 1, 3, 2, 2, 0]"
miangkon,1.2,0.87178,"[1, 2, 2, 2, 0, 0, 1, 2, 0, 2]"
giangkon,0.4,0.66332,"[0, 1, 0, 1, 0, 0, 2, 0, 0, 0]"
gipahimangnoan,-1.9,0.9434,"[-2, -2, -2, -1, -2, -3, -1, -1, -1, -4]"
pagsagop sa,0.7,0.64031,"[0, 0, 1, 1, 1, 0, 1, 0, 1, 2]"
nagsagop sa,0.7,0.64031,"[0, 0, 1, 2, 1, 0, 1, 1, 0, 1]"
pagkamadanihon,2.2,0.74833,"[2, 2, 2, 2, 1, 2, 3, 2, 4, 2]"
madanihon,2.2,0.6,"[3, 2, 2, 3, 2, 2, 1, 3, 2, 2]"
pagka-adorable,2.5,0.67082,"[2, 3, 3, 2, 3, 2, 1, 3, 3, 3]"
nindot nga,2.1,0.7,"[3, 1, 2, 3, 2, 2, 1, 3, 2, 2]"
pagsimba,2.9,0.7,"[3, 3, 3, 2, 3, 3, 4, 2, 4, 2]"
pagsimba,2.2,0.87178,"[2, 2, 3, 1, 3, 1, 3, 3, 1, 3]"
simba,2.6,0.91652,"[3, 3, 1, 2, 3, 3, 3, 4, 1, 3]"
gisimba,1.8,0.87178,"[2, 3, 3, 2, 2, 1, 1, 0, 2, 2]"
tigsimba,1.7,1.1,"[2, 4, 3, 1, 2, 1, 1, 0, 2, 1]"
tigsimba,2.1,0.7,"[3, 2, 1, 2, 2, 2, 3, 2, 3, 1]"
adores,1.6,0.66332,"[2, 1, 3, 2, 2, 1, 1, 1, 2, 1]"
nagsimba,2.6,0.66332,"[2, 3, 3, 3, 1, 3, 3, 2, 3, 3]"
adoringly,2.4,0.8,"[2, 3, 2, 3, 3, 3, 3, 1, 1, 3]"
adorno,0.9,0.53852,"[1, 1, 1, 0, 2, 1, 1, 0, 1, 1]"
pag-adorno,0.9,0.53852,"[1, 1, 1, 0, 2, 1, 1, 0, 1, 1]"
modayandayan,0.9,0.53852,"[1, 1, 1, 0, 2, 1, 1, 0, 1, 1]"
gidayandayanan,0.8,1.249,"[1, 1, 0, 2, -1, 3, -1, 2, 1, 0]"
adorno,1.3,0.78102,"[1, 1, 1, 2, 1, 3, 1, 2, 1, 0]"
adorno,0.9,0.9434,"[2, 2, 0, 1, -1, 2, 1, 1, 0, 1]"
nagdayandayan sa,1,0.7746,"[0, 0, 1, 1, 1, 2, 2, 1, 0, 2]"
dayandayan,1.3,0.78102,"[1, 3, 1, 0, 2, 2, 1, 1, 1, 1]"
dayandayan,0.8,1.16619,"[2, -1, 0, 0, 2, 1, 2, -1, 1, 2]"
nagdayandayan sa,0.5,1.56525,"[3, -1, 1, 0, 2, -1, 3, -1, 0, -1]"
advanced,1,0.63246,"[1, 0, 1, 1, 1, 0, 1, 2, 1, 2]"
pasiuna,1,0.63246,"[1, 0, 1, 1, 1, 0, 1, 2, 1, 2]"
abante,1,0.63246,"[1, 0, 1, 1, 1, 0, 1, 2, 1, 2]"
bentaha,1,0.63246,"[1, 2, 1, 1, 2, 0, 1, 0, 1, 1]"
nakabentaha,1.4,0.91652,"[1, 0, 3, 0, 1, 1, 2, 2, 2, 2]"
nakabenepisyo,1.4,0.91652,"[1, 0, 3, 0, 1, 1, 2, 2, 2, 2]"
mapuslanon,1.5,0.67082,"[2, 0, 2, 2, 2, 1, 1, 1, 2, 2]"
mapuslanon,1.9,0.53852,"[2, 2, 2, 3, 2, 2, 2, 1, 1, 2]"
kaayohan,1.6,1.28062,"[-2, 2, 3, 1, 2, 2, 2, 2, 2, 2]"
bentaha,1.5,0.80623,"[1, 0, 3, 1, 1, 1, 2, 2, 2, 2]"
pagpahimulos,1.6,0.66332,"[3, 1, 1, 2, 1, 1, 2, 2, 2, 1]"
adventure,1.3,0.45826,"[1, 2, 1, 1, 2, 1, 1, 1, 1, 2]"
adventure,1.3,0.45826,"[1, 2, 1, 2, 1, 2, 1, 1, 1, 1]"
tigpanimpalad,1.2,0.6,"[1, 2, 0, 2, 1, 2, 1, 1, 1, 1]"
mga adventurer,0.9,0.9434,"[0, 1, 0, 1, 0, 1, 0, 1, 3, 2]"
mga panimpalad,1.4,1.2,"[2, 2, 1, 2, -2, 2, 2, 1, 2, 2]"
adventuresome,1.7,1.1,"[0, 3, 0, 1, 2, 2, 3, 1, 2, 3]"
adventuresomeness,1.3,1.00499,"[1, 0, 0, 2, 3, 2, 2, 0, 1, 2]"
adventures,0.8,1.72047,"[3, -1, 2, 2, 0, 0, 1, 2, -3, 2]"
mga panimpalad,1.4,1.11355,"[1, 0, 0, 3, 2, 2, 3, 0, 1, 2]"
adventure,2.3,0.78102,"[2, 3, 2, 3, 1, 3, 3, 1, 2, 3]"
adbenturismo,1.5,0.67082,"[1, 0, 2, 2, 2, 2, 1, 1, 2, 2]"
adventurist,1.4,0.4899,"[1, 1, 2, 1, 2, 2, 2, 1, 1, 1]"
adbenturistiko,1.7,0.64031,"[2, 1, 1, 2, 2, 1, 3, 2, 2, 1]"
adbenturista,1.2,0.9798,"[3, 1, 0, 0, 1, 2, 1, 0, 2, 2]"
mapangahason,1.4,1.11355,"[0, 1, 2, 1, 2, 0, 3, 2, 3, 0]"
mapangahason,1.3,0.9,"[0, 1, 2, 2, 1, 2, 1, 1, 0, 3]"
adventurousness,1.8,0.87178,"[0, 1, 3, 2, 1, 3, 2, 2, 2, 2]"
kontra,-1.5,0.92195,"[-2, 0, -1, -3, -2, -2, 0, -1, -2, -2]"
mga kaaway,-1,0.63246,"[-1, -1, -1, -1, 0, -2, -2, -1, -1, 0]"
kaaway,-0.8,1.72047,"[-3, -1, -2, -2, -2, 2, 1, -1, 2, -2]"
adversative,-1.2,0.74833,"[-1, -1, -2, -1, -1, -1, -3, -1, 0, -1]"
kontra,-1,0.7746,"[-1, -1, -2, -1, -2, 1, -1, -1, -1, -1]"
makadaot,-0.8,1.6,"[-2, -2, 0, -2, -2, 2, -2, 2, -2, 0]"
pagkadaotan,-0.6,1.35647,"[-1, -2, -1, 2, -1, -2, -1, 2, -1, -1]"
kalisod,-0.6,1.35647,"[-1, -2, -1, 2, -1, -2, -1, 2, -1, -1]"
kalisdanan,-1.5,0.67082,"[-2, -2, -1, -1, -2, 0, -2, -1, -2, -2]"
kalisdanan,-1.8,0.6,"[-3, -2, -1, -2, -2, -2, -1, -1, -2, -2]"
apektado,-0.6,1.35647,"[-1, -2, 0, -2, 0, 0, 2, -2, 1, -2]"
natandog,-0.6,1.35647,"[-1, -2, 0, -2, 0, 0, 2, -2, 1, -2]"
pagmahal,2.4,0.8,"[3, 2, 2, 3, 4, 1, 3, 2, 2, 2]"
pagbati,2.4,0.8,"[3, 2, 2, 3, 4, 1, 3, 2, 2, 2]"
mahigugmaon,1.9,1.04403,"[3, 3, 2, 0, 2, 2, 2, 3, 2, 0]"
mahigugmaon,1.5,0.92195,"[1, 1, 3, 1, 1, 0, 2, 2, 3, 1]"
mahigugmaon,1.9,1.13578,"[1, 0, 3, 1, 3, 2, 2, 1, 2, 4]"
mahigugmaong,2.2,0.87178,"[4, 1, 1, 2, 2, 2, 3, 3, 2, 2]"
mapinanggaon,2.2,0.87178,"[4, 1, 1, 2, 2, 2, 3, 3, 2, 2] "
gimahal,1.8,0.4,"[2, 2, 1, 2, 2, 1, 2, 2, 2, 2]"
walay pagmahal,-2,0.44721,"[-2, -1, -2, -2, -2, -2, -2, -2, -2, -3]"
pagbati,1.5,1.11803,"[-1, 3, 2, 2, 1, 1, 2, 1, 3, 1]"
gisakit,-1.5,1.0247,"[-1, -2, -3, -2, 1, -1, -1, -2, -2, -2]"
gisakitan,0.2,2.03961,"[1, -2, 2, -2, -2, 4, 0, 2, 1, -2]"
mosamot,-2.5,0.80623,"[-3, -3, -2, -3, -2, -4, -3, -2, -2, -1]"
makapasamot,-2.5,0.80623,"[-3, -3, -2, -3, -2, -4, -3, -2, -2, -1]"
gipasamot,-1.9,1.04403,"[-4, -3, -3, -1, -1, -1, -1, -2, -2, -1]"
mosamot,-1.9,0.83066,"[-3, -2, -2, -2, -3, -1, -2, -2, 0, -2]"
makapasamot,-1.2,0.9798,"[-2, -2, -1, -2, -2, -1, 0, 1, -1, -2]"
agresibo,-1.3,1.55242,"[-2, -2, 2, -2, -1, -3, -3, -1, 1, -2]"
agresibo,-1.4,0.4899,"[-1, -1, -1, -1, -2, -1, -2, -2, -2, -1]"
mga agresyon,-0.5,1.43178,"[-1, -2, -1, -1, -3, 0, -1, 1, 2, 1]"
agresibo,-0.6,1.28062,"[-1, -2, -1, 0, -1, -2, 2, -2, 1, 0]"
agresyon,-1.2,1.77764,"[-2, -2, 1, 1, -4, 2, -2, -2, -2, -2]"
mga agresyon,-1.3,1.48661,"[-1, -2, -2, -2, -2, -3, 1, -2, 2, -2]"
pag-asdang,-1.3,1.48661,"[-1, -2, -2, -2, -2, -3, 1, -2, 2, -2]"
agresibo,-0.6,1.28062,"[-2, 1, -2, -2, 0, -2, -1, 1, 1, 0]"
mahagiton,-0.6,1.28062,"[-2, 1, -2, -2, 0, -2, -1, 1, 1, 0]"
agresibo,-1.3,1.55242,"[-1, -2, 3, -2, -3, -2, -1, -1, -2, -2]"
pagkaagresibo,-1.8,0.74833,"[-1, -2, -1, -2, -2, -1, -3, -1, -3, -2]"
kaagresibo,-1.4,1.28062,"[-1, -1, -1, -2, 2, -2, -2, -2, -3, -2]"
pagkaagresibo,-0.6,1.35647,"[-3, -1, 1, 0, 0, 0, -3, -1, 1, 0]"
aggressor,-0.8,1.32665,"[-2, 0, -1, 2, -2, -2, -1, -1, -2, 1]"
tighagit,-0.8,1.32665,"[-2, 0, -1, 2, -2, -2, -1, -1, -2, 1]"
mga aggressor,-0.9,1.13578,"[-2, -2, -1, -1, -1, 1, 1, 0, -2, -2]"
kakurat,-1.9,1.04403,"[-2, -3, -1, 0, -2, -1, -4, -2, -2, -2]"
kapungot,-1.9,1.04403,"[ -2, -3, -1, 0, -2, -1, -4, -2, -2, -2]"
samok,-1.7,0.64031,"[-2, -2, -3, -1, -1, -1, -2, -1, -2, -2]"
samokon,-1.7,0.64031,"[-2, -2, -3, -1, -1, -1, -2, -1, -2, -2]"
nasamok,-2,0.63246,"[-2, -2, -2, -2, -1, -3, -3, -2, -2, -1]"
nabalisa,-2,0.63246,"[-2, -2, -2, -2, -1, -3, -3, -2, -2, -1]"
nasamok,-1.6,0.8,"[-1, -2, -1, -3, -1, -3, -1, -1, -2, -1]"
nagsamok,-1.4,0.8,"[-2, 0, -1, -2, -1, -1, -3, -1, -2, -1]"
nagsamok,-1.8,0.87178,"[-2, -1, -1, -1, -2, -3, -1, -3, -3, -1]"
kasamok,-1,1.09545,"[-2, -1, 1, -1, -2, -1, -2, -1, 1, -2]"
agitational,-1.2,1.66132,"[-3, -3, -2, 1, -1, -2, 0, 2, -1, -3]"
kasamok,-1.3,1.18743,"[-1, -2, -1, -3, -2, -3, 0, -1, 1, -1]"
agitative,-1.3,1.26886,"[-2, -2, -1, -2, -1, -3, 1, -2, 1, -2]"
agitato,-0.1,1.13578,"[1, 2, 0, 0, 0, 0, -2, 0, -2, 0]"
agitator,-1.4,0.8,"[-1, -1, -1, -2, -1, -1, -2, -3, -2, 0]"
agitator,-2.1,0.9434,"[-2, -3, -3, -2, -2, -1, -3, -2, 0, -3]"
agog,1.9,0.7,"[2, 1, 3, 3, 2, 1, 2, 2, 1, 2]"
kasakit,-2.1,0.9434,"[-3, -3, -2, -3, -1, -3, -1, -3, -1, -1]"
magsakit,-2.1,0.9434,"[-3, -3, -2, -3, -1, -3, -1, -3, -1, -1]"
nagsakit,-2.3,0.64031,"[-2, -3, -3, -2, -2, -2, -2, -3, -1, -3]"
nagsakit,-2.4,0.91652,"[-1, -4, -3, -3, -2, -2, -2, -3, -1, -3]"
masakit,-1.5,1.43178,"[-3, -2, -3, -3, -1, 1, 0, 0, -1, -3]"
kasakit,-2.3,0.9,"[-2, -3, -1, -2, -2, -2, -4, -1, -3, -3]"
nagsakit,-2.2,1.249,"[-2, -3, -3, -3, -3, -2, -1, -3, 1, -3]"
nagsakit,-2.3,1.18743,"[-1, -3, -4, -3, -3, -2, -1, -3, 0, -3]"
nagsakit,-2.7,0.78102,"[-3, -2, -2, -2, -4, -3, -3, -2, -4, -2]"
masakit nga,-2.3,1.48661,"[-3, -1, -3, -4, -4, -2, -3, 1, -1, -3]"
kasakit,-1.8,1.16619,"[-3, -1, -2, -4, -2, -1, 0, -3, -1, -1]"
pag-antos,-1.8,1.16619,"[-3, -1, -2, -4, -2, -1, 0, -3, -1, -1]"
mouyon,1.5,1.11803,"[1, 0, 3, 1, 2, 1, 4, 1, 1, 1]"
pagkauyonan,1.9,1.04403,"[1, 1, 1, 3, 3, 2, 1, 2, 4, 1]"
makauyon,1.8,0.4,"[2, 1, 2, 1, 2, 2, 2, 2, 2, 2]"
mauyunan,1.8,0.4,"[2, 1, 2, 1, 2, 2, 2, 2, 2, 2]"
makahimuot,1.8,0.4,"[2, 1, 2, 1, 2, 2, 2, 2, 2, 2]"
pagkauyonan,1.8,0.9798,"[2, 3, 2, 1, 1, 1, 4, 1, 2, 1]"
pagkamauyonon,1.8,0.9798,"[2, 3, 2, 1, 1, 1, 4, 1, 2, 1]"
uyon,1.3,0.45826,"[2, 1, 1, 2, 1, 2, 1, 1, 1, 1]"
pag-uyon,1.3,0.45826,"[2, 1, 1, 2, 1, 2, 1, 1, 1, 1]"
maayo,1.6,0.4899,"[1, 1, 2, 1, 1, 2, 2, 2, 2, 2]"
nauyonan,1.6,0.4899,"[1, 1, 2, 1, 1, 2, 2, 2, 2, 2]"
miuyon,1.1,0.53852,"[1, 1, 2, 1, 1, 2, 1, 0, 1, 1]"
gikauyonan,1.1,0.53852,"[1, 1, 2, 1, 1, 2, 1, 0, 1, 1]"
miuyon,1.4,0.4899,"[1, 1, 1, 1, 2, 1, 1, 2, 2, 2]"
kasabutan,2.2,0.74833,"[2, 1, 1, 3, 3, 3, 2, 2, 2, 3]"
mga kasabutan,1.1,1.13578,"[0, 1, 0, 1, 1, 2, 1, 0, 4, 1]"
miuyon,0.8,1.4,"[1, 1, 1, 1, 3, 1, -3, 1, 1, 1]"
alarma,-1.4,0.91652,"[-1, -1, -2, -2, -2, -2, -1, 1, -2, -2]"
naalarma,-1.4,0.4899,"[-2, -1, -2, -2, -1, -1, -1, -2, -1, -1]"
makapaalarma,-0.5,1.62788,"[-1, 1, -1, 1, -3, 1, -2, -3, 1, 1]"
makahahadlok,-0.5,1.62788,"[-1, 1, -1, 1, -3, 1, -2, -3, 1, 1]"
makapaalarma,-2.6,0.91652,"[-3, -3, -4, -3, -2, -1, -3, -3, -1, -3]"
alarmismo,-0.3,1.26886,"[-2, 0, -2, -1, 0, 1, 1, -1, 2, -1]"
alarmista,-1.1,1.3,"[-1, -2, -3, -2, -1, -2, 1, 1, 0, -2]"
alarma,-1.1,1.04403,"[-2, 0, -2, -1, 0, 0, 0, -1, -2, -3]"
alaot,-1.1,1.22066,"[-1, -2, -1, 0, -1, 0, 1, -3, -1, -3]"
alaut,-1.1,1.22066,"[-1, -2, -1, 0, -1, 0, 1, -3, -1, -3]"
alerto,1.2,0.87178,"[1, 2, 0, 1, 0, 2, 2, 0, 2, 2]"
abtik,1.2,0.87178,"[1, 2, 0, 1, 0, 2, 2, 0, 2, 2]"
pagpahilayo,-1.1,1.51327,"[-3, -2, -3, -1, -2, -1, 2, -1, 1, -1]"
pagbulag,-1.1,1.51327,"[-3, -2, -3, -1, -2, -1, 2, -1, 1, -1]"
pagpaniglain,-1.1,1.51327,"[-3, -2, -3, -1, -2, -1, 2, -1, 1, -1]"
buhi,1.6,0.8,"[1, 1, 2, 3, 3, 2, 1, 1, 1, 1]"
